gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN0908,14,24,11,15,31,38,15,17,22,29,21,17
GEN0909,119,109,105,124,242,331,181,146,159,229,279,196
GEN0910,15,10,5,24,5,21,23,13,11,21,25,11
GEN0911,739,692,579,805,1065,1539,1359,449,1361,1451,1716,942
GEN0912,70,82,45,85,102,115,106,104,33,144,154,123
GEN0913,12,7,1,13,5,20,17,10,14,35,30,11
GEN0914,73,145,66,93,141,194,191,29,93,200,89,86
GEN0915,183,311,365,250,267,620,656,187,260,367,554,234
GEN0916,15,23,19,31,19,33,22,28,16,24,57,14
GEN0917,128,147,169,105,179,178,273,89,144,382,276,238
GEN0918,1566,1572,1616,2411,2063,4873,4381,1439,2404,2327,4665,3376
GEN0919,217,253,272,393,319,619,370,220,312,520,698,430
GEN0920,44,88,65,66,64,161,232,177,166,350,340,289
GEN0921,21,35,26,24,22,54,52,17,45,47,37,26
GEN0922,183,124,130,202,171,468,364,127,250,455,291,296
GEN0923,14,21,4,3,5,14,1,5,14,16,8,6
GEN0924,2,2,0,2,0,0,1,0,0,2,1,0
GEN0925,17,15,17,13,24,26,34,19,50,41,28,21
GEN0926,24,16,3,7,8,26,20,4,12,18,15,15
GEN0927,754,1366,835,1221,1142,1794,1010,598,1404,2823,1449,918
GEN0928,109,106,61,99,73,133,114,84,81,163,139,86
GEN0929,16,20,7,16,15,36,14,10,9,38,19,9
GEN0930,15,21,6,16,15,14,28,11,10,20,13,10
GEN0931,150,149,117,143,199,247,396,171,86,311,385,182
GEN0932,15,10,21,16,26,52,71,64,86,219,141,127
GEN0933,23,32,26,20,60,58,58,19,32,57,34,36
GEN0934,66,53,39,56,59,98,108,62,51,115,109,71
GEN0935,53,98,90,61,79,212,112,63,85,157,131,84
GEN0936,47,123,93,77,83,179,103,68,125,94,178,64
GEN0937,123,83,78,109,95,162,152,70,46,106,163,77
GEN0938,354,565,678,1041,614,1087,591,269,770,720,920,334
GEN0939,636,742,1132,1001,529,1717,1463,1087,636,1895,1295,1174
GEN0940,11,2,5,3,5,14,12,4,8,10,7,3
GEN0941,3113,3198,3990,6734,6097,4661,6817,3376,3933,5504,13796,6360
GEN0942,66,86,84,45,157,215,214,82,118,109,144,135
GEN0943,638,574,595,449,870,1233,840,472,463,1265,850,948
GEN0944,19,27,22,24,18,51,39,19,18,44,49,20
GEN0945,95,193,156,71,62,234,226,63,135,259,171,131
GEN0946,57,99,118,60,65,217,87,89,85,277,152,132
GEN0947,82,100,60,103,115,164,164,101,49,101,143,118
GEN0948,438,229,357,359,160,567,484,244,293,528,634,294
GEN0949,252,147,127,158,303,142,345,175,210,461,420,255
GEN0950,16,10,12,18,8,35,20,18,25,32,22,6
GEN0951,40,32,69,108,43,160,91,55,46,80,226,54
GEN0952,254,214,248,218,353,359,400,157,338,721,268,439
GEN0953,322,185,229,198,371,532,278,132,267,356,451,240
GEN0954,54,31,38,27,35,87,67,38,60,45,82,19
GEN0955,36,56,50,27,66,91,44,40,61,83,87,70
GEN0956,55,36,50,28,49,41,85,82,56,151,105,49
GEN0957,15,12,9,9,10,20,59,23,28,39,36,38
GEN0958,8,14,10,15,6,12,13,9,5,17,21,4
GEN0959,958,962,699,1459,855,1737,1509,1024,1136,1416,1824,1345
GEN0960,31,53,40,59,41,77,49,28,74,65,38,43
GEN0961,103,60,93,75,80,234,118,59,137,186,82,86
GEN0962,22,12,12,14,23,19,26,14,21,58,34,21
GEN0963,446,973,438,396,548,1365,970,398,398,1560,1346,736
GEN0964,997,1057,1253,973,1143,1928,1834,1545,1424,2589,1925,1440
GEN0965,40,51,72,83,69,56,68,27,66,126,69,80
GEN0966,97,170,172,161,177,328,344,132,210,348,243,292
GEN0967,15,12,20,34,26,41,41,22,37,33,32,10
GEN0968,605,1769,1352,926,841,2834,3293,962,1322,1265,2298,1308
GEN0969,279,205,282,202,271,678,304,310,269,500,468,275
GEN0970,14,16,22,26,22,46,47,20,29,47,31,28
GEN0971,498,329,571,476,687,951,554,480,685,1477,855,942
GEN0972,143,67,116,155,151,275,175,104,102,157,88,191
GEN0973,123,110,164,144,196,324,34,16,20,58,28,16
GEN0974,112,78,76,101,188,256,163,88,177,274,264,127
GEN0975,17,18,28,15,21,89,27,14,42,55,53,14
GEN0976,11,16,25,41,30,84,64,24,23,69,27,31
GEN0977,196,168,139,260,185,377,227,161,227,214,358,262
GEN0978,68,56,75,54,65,194,104,93,72,100,153,65
GEN0979,14,20,16,17,16,40,4,2,4,1,3,1
GEN0980,1884,3251,1969,1433,1537,5186,2663,1440,1973,2953,3161,2013
GEN0981,83,73,55,60,37,128,82,43,59,46,131,60
GEN0982,21,18,26,23,22,53,59,29,41,66,37,36
GEN0983,23,24,13,16,37,46,24,9,19,55,50,48
GEN0984,143,210,170,162,181,528,414,96,216,299,402,220
GEN0985,334,423,279,406,348,668,556,294,528,1025,635,444
GEN0986,72,143,108,97,99,209,96,99,81,227,215,154
GEN0987,154,232,402,275,322,348,206,106,399,476,365,218
GEN0988,3,7,6,5,11,19,6,6,10,11,20,12
GEN0989,13,53,20,37,40,100,264,225,309,648,344,238
GEN0990,45,30,26,22,35,101,51,32,46,65,51,40
GEN0991,52,69,82,97,82,225,153,53,72,156,84,94
GEN0992,136,173,208,125,112,305,228,239,190,313,198,182
GEN0993,8,2,2,3,1,2,3,3,0,5,6,1
GEN0994,10086,11530,9811,9928,12512,12125,14528,6613,11612,18823,27288,14726
GEN0995,15,23,7,15,11,38,32,17,21,17,25,14
GEN0996,128,106,185,194,101,237,225,164,91,236,285,219
GEN0997,225,241,252,285,170,635,808,443,519,1943,585,876
GEN0998,334,312,249,258,339,259,477,251,300,366,371,213
GEN0999,84,106,70,116,107,174,145,67,133,166,151,193
GEN1000,0,0,0,2,1,3,2,1,0,1,0,1
GEN1001,15,8,12,12,11,24,18,18,14,30,15,11
GEN1002,290,263,226,149,253,451,229,257,205,645,369,450
GEN1003,16,22,18,25,40,42,33,19,18,23,26,23
GEN1004,13,13,17,9,9,30,15,11,24,27,25,12
GEN1005,0,1,1,0,1,1,6,0,1,4,2,0
GEN1006,347,582,594,843,548,824,711,355,673,622,680,480
GEN1007,123,144,266,180,120,233,244,155,109,358,344,188
GEN1008,21,11,6,30,8,40,28,16,18,39,19,22
GEN1009,37,39,55,59,96,107,85,17,64,90,59,58
GEN1010,60,50,71,72,44,81,1149,606,714,1410,456,353
GEN1011,21,9,18,11,14,25,24,13,11,20,13,20
GEN1012,35,38,38,42,40,51,79,54,31,91,85,43
GEN1013,59,42,119,136,44,139,225,83,79,206,169,87
GEN1014,85,203,113,167,203,235,279,136,170,317,195,184
GEN1015,405,498,768,515,322,1269,789,304,614,639,698,536
GEN1016,92,78,39,95,38,107,127,87,65,187,81,72
GEN1017,33,32,17,17,42,27,36,14,51,39,44,36
GEN1018,91,52,114,144,181,177,208,64,150,224,128,187
GEN1019,17,17,28,34,24,37,39,17,23,35,43,27
GEN1020,6,9,8,6,12,17,9,6,11,21,15,10
GEN1021,225,491,442,542,340,1438,676,327,189,1194,1057,566
GEN1022,28,23,38,52,53,156,48,44,40,140,34,38
GEN1023,71,35,78,124,71,146,119,59,66,113,92,116
GEN1024,129,214,151,150,155,307,217,145,165,224,368,230
GEN1025,4,8,15,9,6,24,9,8,11,12,14,13
GEN1026,246,214,188,187,240,331,185,123,367,367,360,198
GEN1027,168,172,110,128,211,282,177,132,130,185,260,146
GEN1028,54,56,49,50,61,91,93,53,58,132,83,63
GEN1029,109,178,132,105,123,281,192,132,127,117,155,91
GEN1030,17,24,11,13,31,43,33,17,20,27,38,26
GEN1031,2,2,3,2,1,3,13,10,4,10,12,10
GEN1032,39,35,42,73,57,68,66,39,32,81,73,27
GEN1033,15,10,16,26,16,32,18,14,22,25,29,22
GEN1034,129,236,301,272,321,441,363,380,329,624,621,517
GEN1035,107,70,66,87,67,115,174,86,135,131,79,127
GEN1036,27,40,13,60,22,82,51,30,18,62,53,64
GEN1037,78,49,74,68,79,129,31,18,35,41,27,16
GEN1038,273,485,674,700,577,992,963,307,587,1363,910,359
GEN1039,200,331,269,388,358,541,897,381,347,673,767,452
GEN1040,39,104,118,120,205,228,121,131,173,225,119,182
GEN1041,70,139,104,105,170,153,1696,413,1271,1538,757,845
GEN1042,44,36,27,31,52,59,59,89,64,81,49,51
GEN1043,45,59,43,66,76,120,25,22,11,49,17,21
GEN1044,264,168,143,110,202,349,277,124,170,399,348,251
GEN1045,79,38,56,77,40,85,104,63,90,85,85,82
GEN1046,95,94,100,75,115,222,25,18,17,35,22,21
GEN1047,12,21,14,16,24,16,3,12,6,42,24,14
GEN1048,4,2,6,3,9,8,14,4,8,14,8,2
GEN1049,1,1,4,2,6,8,11,11,3,16,8,11
GEN1050,18,29,35,26,35,69,51,39,25,45,44,41
GEN1051,577,465,609,636,477,1188,1116,339,425,931,550,500
GEN1052,374,396,262,724,406,679,457,387,440,911,989,626
GEN1053,16,13,14,22,15,14,34,17,12,24,12,11
GEN1054,8,4,3,7,6,7,11,2,9,5,6,3
GEN1055,282,190,221,206,299,257,368,236,186,371,449,203
GEN1056,202,127,201,110,107,307,111,88,167,130,168,236
GEN1057,7,10,5,9,5,19,10,3,6,20,13,4
GEN1058,351,188,253,369,234,761,746,173,374,764,585,407
GEN1059,40,63,77,94,62,145,129,131,65,162,86,98
GEN1060,581,544,523,506,429,1557,831,388,464,1646,940,315
GEN1061,98,91,63,125,82,281,168,69,89,344,241,111
GEN1062,289,357,252,295,329,682,383,207,274,593,566,237
GEN1063,167,118,82,147,66,309,150,134,59,263,320,169
GEN1064,23,21,13,15,15,26,22,6,15,32,40,18
GEN1065,58,49,68,72,58,75,69,34,52,90,62,73
GEN1066,13,23,20,7,21,41,35,7,27,52,24,40
GEN1067,181,240,249,163,263,295,283,206,228,415,400,635
GEN1068,9,14,7,27,9,13,13,13,12,16,13,19
GEN1069,1,10,4,4,4,4,10,3,12,16,6,11
GEN1070,156,200,181,202,183,393,246,217,166,433,158,333
GEN1071,397,452,293,358,454,1023,444,398,405,360,828,439
GEN1072,906,491,956,625,644,1433,1340,599,468,748,364,865
GEN1073,268,332,295,350,409,447,524,392,459,532,664,559
GEN1074,4,7,3,7,5,6,12,4,14,13,8,2
GEN1075,18,21,20,26,26,57,19,21,24,31,28,16
GEN1076,17,27,23,32,23,52,32,24,20,28,57,40
GEN1077,67,100,45,102,43,133,67,52,45,156,119,82
GEN1078,0,3,4,9,2,4,21,10,18,14,24,18
GEN1079,67,83,90,58,55,137,99,52,65,106,85,47
GEN1080,161,93,121,105,203,358,171,95,55,201,255,184
GEN1081,15,19,13,33,11,44,24,5,14,12,20,5
GEN1082,85,84,64,80,136,175,78,68,100,214,121,120
GEN1083,505,290,509,483,673,1093,712,512,663,684,676,352
GEN1084,104,70,57,51,82,137,126,98,73,80,136,81
GEN1085,402,283,623,290,298,327,237,433,421,546,622,365
GEN1086,294,359,258,245,289,522,186,153,92,150,242,199
GEN1087,162,113,133,127,119,227,162,158,130,164,176,180
GEN1088,95,137,50,113,141,219,264,110,132,223,201,122
GEN1089,23,43,38,41,31,60,31,26,46,124,82,25
GEN1090,292,424,428,482,565,1251,634,312,660,1144,1077,540
GEN1091,15,44,34,30,16,74,50,26,45,34,58,26
GEN1092,26,18,29,29,18,21,26,14,21,40,52,21
GEN1093,165,161,176,241,342,321,461,277,196,370,247,112
GEN1094,14,13,20,19,10,25,41,17,16,24,13,25
GEN1095,156,139,125,133,81,234,324,130,71,154,166,206
GEN1096,226,205,414,410,387,720,626,378,262,438,568,375
GEN1097,50,126,51,76,60,115,85,44,78,154,143,80
GEN1098,107,75,49,113,65,118,147,41,73,83,114,90
GEN1099,305,273,277,376,451,598,380,285,354,480,539,536
GEN1100,205,186,266,278,230,445,341,99,230,380,282,222
GEN1101,2,1,5,12,5,9,8,6,8,5,8,6
GEN1102,7,2,6,7,12,7,21,7,4,13,16,7
GEN1103,532,516,324,846,508,1067,524,856,581,565,564,839
GEN1104,92,135,115,171,81,496,201,86,166,302,247,165
GEN1105,5,4,0,3,3,6,6,3,4,1,6,4
GEN1106,7,9,6,5,8,17,9,2,11,13,26,12
GEN1107,49,78,54,60,70,203,76,45,81,155,130,106
GEN1108,11,15,13,7,16,30,15,7,20,22,13,12
GEN1109,137,153,137,144,107,248,192,131,91,217,209,108
GEN1110,69,81,160,93,46,90,79,79,62,217,83,125
GEN1111,137,188,179,107,96,264,172,113,92,242,300,119
GEN1112,7,7,9,7,6,20,24,16,11,14,3,12
GEN1113,129,203,159,139,270,544,279,160,172,529,232,175
GEN1114,1139,955,1184,1834,1657,3666,1914,1688,1492,2628,1943,1915
GEN1115,19,14,13,13,15,37,22,17,23,43,23,25
GEN1116,317,553,467,571,238,1283,628,695,638,1209,1009,451
GEN1117,284,336,280,220,376,761,277,402,306,603,516,408
GEN1118,259,169,221,313,188,427,310,149,159,355,133,201
GEN1119,38,68,39,125,83,169,68,95,61,72,89,78
GEN1120,13,11,9,10,17,9,24,3,7,13,19,7
GEN1121,19,9,12,20,5,35,15,13,12,27,38,20
GEN1122,192,186,211,352,366,429,457,179,228,365,434,373
GEN1123,400,277,213,245,291,401,370,415,271,775,558,429
GEN1124,384,323,306,602,330,1190,607,504,631,893,1105,581
GEN1125,343,337,228,436,243,345,446,241,355,662,613,482
GEN1126,311,316,316,378,211,527,330,246,339,618,276,337
GEN1127,27,21,19,31,37,98,58,22,20,46,65,50
GEN1128,10,8,1,11,16,20,9,6,5,27,14,6
GEN1129,93,69,69,99,118,127,98,113,100,101,99,114
GEN1130,165,94,95,82,140,263,27,15,22,56,43,27
GEN1131,75,84,29,113,114,134,160,96,31,132,149,94
GEN1132,11,12,8,5,5,7,4,0,3,10,14,3
GEN1133,20,14,32,17,32,51,38,20,39,101,26,18
GEN1134,2,6,5,5,10,22,9,10,5,10,5,6
GEN1135,84,104,82,87,97,134,102,96,71,144,130,79
GEN1136,11,8,16,10,8,28,9,15,12,17,28,15
GEN1137,53,30,17,41,25,102,71,29,53,82,80,84
GEN1138,121,57,115,141,93,322,232,56,155,113,182,88
GEN1139,85,82,82,79,80,87,133,47,115,176,129,76
GEN1140,353,421,609,354,527,926,4161,3678,2595,5059,4776,2085
GEN1141,11,7,20,5,20,23,34,10,6,11,24,12
GEN1142,3,2,3,3,2,3,2,6,3,3,2,1
GEN1143,218,304,201,254,378,806,2273,1997,2114,4383,4027,2242
GEN1144,345,438,726,661,414,1600,706,536,792,1056,672,1230
GEN1145,585,728,840,629,555,1414,585,464,707,1552,1093,528
GEN1146,117,74,117,70,110,264,261,71,106,115,293,168
GEN1147,134,155,187,191,154,336,215,101,136,132,270,223
GEN1148,49,80,57,68,49,144,140,65,116,125,117,96
GEN1149,7,7,2,7,8,13,5,4,8,16,10,14
GEN1150,32,31,45,53,21,60,44,57,11,34,48,42
GEN1151,86,154,160,168,204,346,311,126,131,294,134,181
GEN1152,28,26,9,23,32,36,39,16,22,38,38,41
GEN1153,1332,1576,1914,2216,1971,2166,493,252,296,617,803,242
GEN1154,5,8,2,9,6,7,9,4,2,8,7,7
GEN1155,50,23,28,51,29,57,39,33,42,100,59,40
GEN1156,404,298,548,537,474,743,591,219,593,969,747,402
GEN1157,22,21,37,38,30,81,57,27,34,51,18,31
GEN1158,7,16,15,14,8,11,11,5,9,18,18,9
GEN1159,2,3,1,7,7,5,4,4,4,14,12,8
GEN1160,21,23,24,11,22,39,15,22,33,51,43,32
GEN1161,511,827,1162,1027,665,1550,1207,516,804,1287,1663,911
GEN1162,155,86,106,196,107,362,178,201,203,300,170,151
GEN1163,96,139,112,171,154,163,159,115,233,466,401,211
GEN1164,15,14,34,25,53,55,85,69,89,92,113,63
GEN1165,316,221,237,357,210,387,452,368,373,589,298,271
GEN1166,53,66,74,54,109,161,173,69,97,204,110,141
GEN1167,14,15,14,14,18,35,14,12,27,25,18,19
GEN1168,20,37,17,22,23,68,40,34,42,77,48,53
GEN1169,122,107,109,134,78,88,225,89,104,220,64,92
GEN1170,420,390,745,522,536,1075,676,267,465,693,510,601
GEN1171,92,87,77,48,115,134,130,49,67,147,169,47
GEN1172,129,99,112,148,156,324,196,105,125,462,185,195
GEN1173,2250,1488,1212,614,2378,2798,2976,1272,2526,4131,2331,3483
GEN1174,16,19,28,20,40,61,14,12,24,24,39,31
GEN1175,11,13,4,8,9,16,4,9,14,15,18,3
GEN1176,305,361,295,608,170,632,676,204,367,449,434,581
GEN1177,93,86,157,148,172,265,180,150,154,309,273,189
GEN1178,66,27,66,71,58,66,60,58,77,103,66,62
GEN1179,116,115,119,95,122,191,110,72,98,149,201,177
GEN1180,38,31,34,49,50,47,67,37,40,76,44,78
GEN1181,131,135,141,158,83,435,294,71,318,398,218,209
GEN1182,41,43,17,44,31,81,57,31,54,59,116,41
GEN1183,327,172,118,203,219,265,71,61,45,81,167,93
GEN1184,4,6,8,11,5,12,19,14,8,20,16,7
GEN1185,12,23,17,21,16,47,35,16,24,29,24,33
GEN1186,46,88,82,117,51,226,87,109,65,118,168,94
GEN1187,26,34,34,26,25,57,54,33,40,51,31,30
GEN1188,112,225,222,175,211,520,325,113,215,292,271,229
GEN1189,56,50,63,28,90,153,51,51,68,117,102,95
GEN1190,11,27,23,37,40,71,50,11,42,32,37,38
GEN1191,98,145,115,56,85,119,158,53,75,214,171,153
GEN1192,28,19,20,51,29,45,54,28,22,48,58,17
GEN1193,5,6,4,6,7,4,8,5,5,11,10,8
GEN1194,7,12,5,8,17,16,24,12,10,15,21,6
GEN1195,8,17,16,14,14,38,28,14,10,48,19,32
GEN1196,30,34,12,27,44,92,31,47,30,56,47,30
GEN1197,70,76,77,70,64,157,81,54,100,93,101,124
GEN1198,378,58,272,363,430,382,447,234,211,724,612,423
GEN1199,265,126,184,208,142,449,317,107,153,285,290,196
GEN1200,1184,1780,1078,1318,1545,1703,466,334,278,658,1071,445
GEN1201,669,937,284,755,535,559,791,287,260,968,838,767
GEN1202,39,30,61,63,43,37,113,36,41,67,106,56
GEN1203,1249,1039,524,918,1372,2138,1391,559,1431,2551,1846,2010
GEN1204,423,495,281,444,334,1002,820,409,486,893,754,492
GEN1205,33,64,29,37,36,57,31,41,28,52,70,26
GEN1206,89,131,115,207,107,292,143,56,98,151,154,151
GEN1207,193,586,196,407,421,790,530,534,422,969,514,658
GEN1208,77,154,119,169,82,228,138,86,93,134,156,105
GEN1209,219,165,155,342,197,563,610,386,383,890,376,487
GEN1210,174,170,56,224,69,404,973,483,821,1190,690,579
GEN1211,114,161,212,343,164,484,361,237,269,504,358,158
GEN1212,25,33,39,52,34,74,73,52,55,77,63,43
GEN1213,75,63,182,111,131,226,206,92,108,265,215,157
GEN1214,21,40,47,21,38,101,74,34,59,87,72,21
GEN1215,130,163,404,146,250,700,239,79,264,406,289,216
GEN1216,6,4,4,4,6,4,5,2,10,9,8,7
GEN1217,102,100,125,76,93,247,149,84,121,335,176,123
GEN1218,289,503,453,257,488,1064,587,336,622,974,613,491
GEN1219,191,166,186,155,243,463,260,170,244,353,296,242
GEN1220,25,69,72,101,51,83,74,74,80,235,110,88
GEN1221,128,67,170,153,125,413,210,191,185,267,183,277
GEN1222,15,21,10,28,12,27,30,17,22,22,11,16
GEN1223,10,10,13,15,21,27,35,10,9,39,30,11
GEN1224,10,37,28,44,34,48,23,42,54,35,76,39
GEN1225,35,37,30,69,38,156,104,50,75,75,129,84
GEN1226,364,368,380,222,147,694,814,394,374,645,384,428
GEN1227,15,19,22,22,32,15,24,21,11,39,24,24
GEN1228,220,210,297,379,401,253,452,411,321,507,352,538
GEN1229,4,7,8,7,7,19,6,2,7,17,8,8
GEN1230,21,17,19,16,10,60,18,18,17,35,11,28
GEN1231,55,70,31,89,87,185,57,48,86,102,104,53
GEN1232,420,481,597,319,521,1027,311,456,544,416,979,286
GEN1233,23,16,23,29,17,39,79,33,40,64,23,29
GEN1234,3,7,2,1,1,3,4,4,5,7,3,2
GEN1235,81,118,166,212,115,238,208,106,112,241,328,172
GEN1236,66,80,79,75,69,89,124,73,47,128,143,65
GEN1237,8,13,22,16,8,13,16,4,13,24,22,17
GEN1238,26,6,6,17,27,23,32,19,18,17,16,14
GEN1239,36,15,21,37,10,53,6,14,13,6,11,4
GEN1240,70,93,102,78,64,60,134,60,81,149,129,106
GEN1241,199,173,141,170,153,404,334,258,170,296,380,272
GEN1242,11,3,5,4,9,12,12,11,16,12,7,13
GEN1243,1894,1748,2487,2841,3135,5108,4887,2529,2163,4151,4130,2964
GEN1244,100,38,57,117,36,107,148,42,63,137,94,91
GEN1245,30,30,51,26,53,88,49,31,34,51,36,49
GEN1246,203,186,155,235,244,353,479,120,287,318,322,194
GEN1247,40,68,54,67,72,141,163,48,90,107,144,111
GEN1248,1436,3480,3120,2955,2969,4219,3875,2357,4083,6066,4327,3187
GEN1249,264,400,537,366,493,907,746,294,447,423,613,301
GEN1250,29,26,46,54,28,89,52,54,58,65,90,47
GEN1251,20,23,40,37,53,94,56,29,46,43,61,40
GEN1252,35,30,38,57,28,88,32,29,35,49,27,43
GEN1253,26,16,23,48,30,47,31,34,27,83,95,29
GEN1254,157,213,257,283,145,260,176,190,117,309,313,243
GEN1255,20,24,29,22,40,46,32,23,25,43,21,18
GEN1256,778,806,1179,1193,1364,1939,2351,1091,1465,2298,1905,1485
GEN1257,61,50,64,41,69,135,105,79,74,76,82,36
GEN1258,55,50,62,105,56,119,70,62,86,112,81,90
GEN1259,207,270,234,337,409,347,258,300,324,656,689,400
GEN1260,0,4,4,2,7,6,3,3,8,4,8,6
GEN1261,15,25,18,12,17,26,19,15,6,40,28,19
GEN1262,152,140,190,122,235,194,507,672,571,1237,864,230
GEN1263,49,69,106,78,52,215,525,340,755,658,718,524
GEN1264,43,62,62,34,46,208,82,83,92,132,92,59
GEN1265,94,112,118,57,113,183,189,102,226,391,350,235
GEN1266,22,37,15,17,33,61,16,20,18,66,40,33
GEN1267,34,55,42,70,68,102,63,24,49,123,127,84
GEN1268,14,8,5,14,7,15,14,8,3,18,19,5
GEN1269,8,1,3,9,0,5,2,1,6,7,6,4
GEN1270,563,357,458,406,392,1048,319,151,160,152,189,230
GEN1271,14,21,7,12,8,26,18,11,9,14,18,14
GEN1272,8,29,37,20,19,27,19,36,20,31,43,25
GEN1273,325,894,552,478,640,1088,1076,475,882,1298,1135,1006
GEN1274,477,492,384,740,336,813,403,345,314,763,670,411
GEN1275,41,18,30,55,20,45,50,31,39,64,53,36
GEN1276,33,34,36,15,36,60,63,39,35,35,53,30
GEN1277,59,38,37,88,64,150,76,102,36,85,88,43
GEN1278,17,23,15,27,10,20,6,13,13,44,27,21
GEN1279,109,107,142,279,304,278,229,146,197,336,281,176
GEN1280,127,48,56,120,65,142,85,56,91,145,161,140
GEN1281,31,93,74,85,90,86,89,47,86,149,122,63
GEN1282,302,173,194,127,153,410,578,233,291,467,387,267
GEN1283,229,190,297,206,219,479,171,168,159,509,270,264
GEN1284,1106,1558,1296,1326,1324,1568,1772,1226,759,2074,1837,1488
GEN1285,663,825,869,722,851,1688,1406,884,637,745,975,1076
GEN1286,2,2,1,4,6,6,3,1,7,8,12,7
GEN1287,200,441,154,333,302,681,371,249,366,333,512,259
GEN1288,8,10,9,25,5,15,16,14,14,21,18,14
GEN1289,11,7,1,6,5,10,6,3,15,16,11,19
GEN1290,138,169,240,178,267,368,273,179,311,340,404,217
GEN1291,23,12,8,22,23,30,15,14,22,42,35,27
GEN1292,35,53,33,38,38,78,54,28,57,108,38,58
GEN1293,263,379,267,375,519,409,304,363,442,906,664,568
GEN1294,29,30,23,22,17,66,55,21,20,52,34,28
GEN1295,10,10,16,11,20,55,11,15,23,15,37,23
GEN1296,127,90,115,127,96,247,152,87,90,232,224,74
GEN1297,492,288,598,475,391,737,922,564,331,1287,538,923
GEN1298,135,130,157,222,149,341,315,156,124,234,188,231
GEN1299,10,8,6,4,6,6,8,2,5,5,15,2
GEN1300,28,23,18,16,29,52,47,13,36,37,24,19
GEN1301,17,55,59,53,50,71,71,26,84,101,58,38
GEN1302,1520,1211,2487,1548,918,3653,3336,1205,1473,2734,2941,1886
GEN1303,235,252,272,359,251,650,345,520,416,471,439,224
GEN1304,238,169,235,194,399,866,73,28,58,92,75,38
GEN1305,319,438,537,392,388,497,878,563,396,1043,868,463
GEN1306,39,38,25,50,33,44,87,32,53,63,81,35
GEN1307,161,123,137,215,207,227,241,96,205,420,224,183
GEN1308,148,145,89,183,111,317,253,118,170,467,227,210
GEN1309,11,23,7,8,17,40,12,20,19,15,33,25
GEN1310,53,62,47,89,97,149,76,66,90,116,72,61
GEN1311,189,100,177,224,141,461,314,207,229,331,285,208
GEN1312,14,10,11,5,5,9,197,57,67,306,195,135
GEN1313,151,289,147,382,160,613,292,177,379,641,493,255
GEN1314,355,236,205,295,146,633,528,189,282,263,351,545
GEN1315,298,382,376,421,344,753,744,171,575,934,469,676
GEN1316,21,4,29,12,23,74,19,26,24,62,23,17
GEN1317,73,89,68,71,72,160,134,105,82,97,75,104
GEN1318,495,582,671,785,655,1710,858,733,968,1907,635,946
GEN1319,198,181,354,177,342,708,772,233,318,381,352,329
GEN1320,16,28,15,30,19,49,57,4,27,41,42,16
GEN1321,82,89,60,138,127,158,167,48,84,155,123,106
GEN1322,913,576,935,1275,815,1530,1499,785,549,798,933,617
GEN1323,61,57,51,40,74,125,136,64,96,89,99,63
GEN1324,110,103,139,156,106,373,109,85,112,119,151,215
GEN1325,4030,6900,5210,2709,3714,6366,11395,17072,8077,35815,17709,16892
GEN1326,47,82,66,27,40,120,77,89,54,115,144,94
GEN1327,68,38,40,52,65,159,117,59,74,100,87,44
GEN1328,21,34,11,12,12,20,15,15,9,15,15,19
GEN1329,20,17,35,20,22,39,36,25,37,47,24,12
GEN1330,1094,622,554,915,782,2246,936,409,859,1503,1545,822
GEN1331,33,66,44,53,46,89,59,35,46,104,49,73
GEN1332,7,12,3,9,15,15,14,14,9,14,21,13
GEN1333,19,10,15,25,5,9,30,9,14,31,35,21
GEN1334,105,99,47,46,56,116,83,69,80,156,129,121
GEN1335,157,157,284,296,199,582,409,145,246,318,487,222
GEN1336,6,20,19,29,21,47,77,22,23,37,58,25
GEN1337,83,272,288,238,212,520,308,130,219,508,202,131
GEN1338,66,41,47,15,49,56,42,34,17,45,54,31
GEN1339,147,115,103,95,127,215,85,83,197,293,256,61
GEN1340,112,179,130,185,225,283,249,116,230,350,326,271
GEN1341,167,250,145,212,206,316,419,179,185,521,408,238
GEN1342,28,14,18,54,35,75,26,42,33,71,101,41
GEN1343,37,57,61,58,48,150,112,60,42,87,55,59
GEN1344,204,111,180,122,159,510,195,137,205,276,125,207
GEN1345,9,10,9,7,11,9,22,9,3,15,15,14
GEN1346,66,62,69,80,79,211,120,62,108,224,97,101
GEN1347,127,118,114,89,163,289,213,192,194,373,290,149
GEN1348,261,419,392,364,537,660,522,305,533,569,872,411
GEN1349,48,36,78,64,48,101,162,143,211,234,272,145
GEN1350,54,34,37,21,67,73,118,49,36,132,94,62
GEN1351,65,97,56,82,77,163,208,139,111,132,124,96
GEN1352,19,23,20,17,33,37,27,17,38,31,54,27
GEN1353,38,29,35,45,68,102,53,22,58,93,78,34
GEN1354,85,153,142,52,134,146,312,108,159,130,186,136
GEN1355,84,54,104,99,70,127,100,89,111,185,152,103
GEN1356,11,7,8,16,15,27,15,8,11,29,24,13
GEN1357,41,38,15,20,40,86,43,54,31,78,87,42
GEN1358,7,1,1,5,1,6,3,0,3,8,3,3
GEN1359,263,380,159,261,198,573,335,122,263,624,329,368
GEN1360,19,32,19,24,51,45,42,19,34,72,40,30
GEN1361,99,24,72,77,146,146,127,65,93,215,165,187
GEN1362,11,12,10,12,14,28,23,5,9,27,21,11
